# Logfile created on Tue Jan 03 22:13:21 CET 2006 by logger.rb/1.5.2.7
I, [2006-01-03T22:13:21.906624 #26646]  INFO -- : Beginning:
I, [2006-01-03T22:13:21.934075 #26646]  INFO -- :  Empty place: 29,17 contains: .
I, [2006-01-03T22:13:21.934208 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.934355 #26646]  INFO -- :  Empty place: 28,14 contains: .
I, [2006-01-03T22:13:21.934542 #26646]  INFO -- :  Empty place: 23,5 contains: .
I, [2006-01-03T22:13:21.934847 #26646]  INFO -- :  Empty place: 16,7 contains: .
I, [2006-01-03T22:13:21.935066 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.935263 #26646]  INFO -- :  Empty place: 6,10 contains: .
I, [2006-01-03T22:13:21.935416 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:21.935726 #26646]  INFO -- :  Empty place: 6,10 contains: .
I, [2006-01-03T22:13:21.935878 #26646]  INFO -- :  Empty place: 16,6 contains: .
I, [2006-01-03T22:13:21.936074 #26646]  INFO -- :  Empty place: 11,7 contains: .
I, [2006-01-03T22:13:21.936207 #26646]  INFO -- :  Empty place: 29,9 contains: .
I, [2006-01-03T22:13:21.936422 #26646]  INFO -- :  Empty place: 7,7 contains: .
I, [2006-01-03T22:13:21.936619 #26646]  INFO -- :  Empty place: 17,10 contains: .
I, [2006-01-03T22:13:21.936900 #26646]  INFO -- :  Empty place: 42,18 contains: .
I, [2006-01-03T22:13:21.937027 #26646]  INFO -- :  Empty place: 5,7 contains: .
I, [2006-01-03T22:13:21.937554 #26646]  INFO -- :  Empty place: 16,12 contains: .
I, [2006-01-03T22:13:21.937704 #26646]  INFO -- :  Empty place: 5,7 contains: .
I, [2006-01-03T22:13:21.937962 #26646]  INFO -- :  Empty place: 54,17 contains: .
I, [2006-01-03T22:13:21.938652 #26646]  INFO -- :  Empty place: 12,7 contains: .
I, [2006-01-03T22:13:21.938803 #26646]  INFO -- :  Empty place: 26,5 contains: .
I, [2006-01-03T22:13:21.938974 #26646]  INFO -- :  Empty place: 42,16 contains: .
I, [2006-01-03T22:13:21.939142 #26646]  INFO -- :  Empty place: 15,10 contains: .
I, [2006-01-03T22:13:21.939313 #26646]  INFO -- :  Empty place: 55,11 contains: .
I, [2006-01-03T22:13:21.940352 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.940490 #26646]  INFO -- :  Empty place: 29,6 contains: .
I, [2006-01-03T22:13:21.940632 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.940928 #26646]  INFO -- :  Empty place: 29,7 contains: .
I, [2006-01-03T22:13:21.941106 #26646]  INFO -- :  Empty place: 7,7 contains: .
I, [2006-01-03T22:13:21.941291 #26646]  INFO -- :  Empty place: 14,13 contains: .
I, [2006-01-03T22:13:21.941690 #26646]  INFO -- :  Empty place: 42,19 contains: .
I, [2006-01-03T22:13:21.941982 #26646]  INFO -- :  Empty place: 16,6 contains: .
I, [2006-01-03T22:13:21.942214 #26646]  INFO -- :  Empty place: 16,12 contains: .
I, [2006-01-03T22:13:21.942416 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:21.942571 #26646]  INFO -- :  Empty place: 16,7 contains: .
I, [2006-01-03T22:13:21.942784 #26646]  INFO -- :  Empty place: 48,17 contains: .
I, [2006-01-03T22:13:21.943015 #26646]  INFO -- :  Empty place: 23,6 contains: .
I, [2006-01-03T22:13:21.943238 #26646]  INFO -- :  Empty place: 29,10 contains: .
I, [2006-01-03T22:13:21.943435 #26646]  INFO -- :  Empty place: 16,6 contains: .
I, [2006-01-03T22:13:21.943641 #26646]  INFO -- :  Empty place: 29,6 contains: .
I, [2006-01-03T22:13:21.943788 #26646]  INFO -- :  Empty place: 31,15 contains: .
I, [2006-01-03T22:13:21.943952 #26646]  INFO -- :  Empty place: 16,10 contains: .
I, [2006-01-03T22:13:21.944124 #26646]  INFO -- :  Empty place: 23,3 contains: .
I, [2006-01-03T22:13:21.944294 #26646]  INFO -- :  Empty place: 18,8 contains: .
I, [2006-01-03T22:13:21.944523 #26646]  INFO -- :  Empty place: 8,13 contains: .
I, [2006-01-03T22:13:21.944720 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:21.944912 #26646]  INFO -- :  Empty place: 8,13 contains: .
I, [2006-01-03T22:13:21.945968 #26646]  INFO -- :  Empty place: 31,14 contains: .
I, [2006-01-03T22:13:21.946254 #26646]  INFO -- :  Empty place: 10,16 contains: .
I, [2006-01-03T22:13:21.946397 #26646]  INFO -- :  Empty place: 40,9 contains: .
I, [2006-01-03T22:13:21.946682 #26646]  INFO -- :  Empty place: 42,12 contains: .
I, [2006-01-03T22:13:21.946935 #26646]  INFO -- :  Empty place: 19,8 contains: .
I, [2006-01-03T22:13:21.947125 #26646]  INFO -- :  Empty place: 49,17 contains: .
I, [2006-01-03T22:13:21.947323 #26646]  INFO -- :  Empty place: 42,16 contains: .
I, [2006-01-03T22:13:21.947507 #26646]  INFO -- :  Empty place: 5,21 contains: .
I, [2006-01-03T22:13:21.947653 #26646]  INFO -- :  Empty place: 10,13 contains: .
I, [2006-01-03T22:13:21.947941 #26646]  INFO -- :  Empty place: 44,4 contains: .
I, [2006-01-03T22:13:21.948183 #26646]  INFO -- :  Empty place: 5,22 contains: .
I, [2006-01-03T22:13:21.948497 #26646]  INFO -- :  Empty place: 61,15 contains: .
I, [2006-01-03T22:13:21.948799 #26646]  INFO -- :  Empty place: 31,15 contains: .
I, [2006-01-03T22:13:21.949310 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.949515 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.949827 #26646]  INFO -- :  Empty place: 23,6 contains: .
I, [2006-01-03T22:13:21.949988 #26646]  INFO -- :  Empty place: 23,6 contains: .
I, [2006-01-03T22:13:21.950196 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.950413 #26646]  INFO -- :  Empty place: 55,12 contains: .
I, [2006-01-03T22:13:21.950626 #26646]  INFO -- :  Empty place: 26,20 contains: .
I, [2006-01-03T22:13:21.950831 #26646]  INFO -- :  Empty place: 12,7 contains: .
I, [2006-01-03T22:13:21.951007 #26646]  INFO -- :  Empty place: 11,13 contains: .
I, [2006-01-03T22:13:21.951164 #26646]  INFO -- :  Empty place: 19,8 contains: .
I, [2006-01-03T22:13:21.951308 #26646]  INFO -- :  Empty place: 10,22 contains: .
I, [2006-01-03T22:13:21.951648 #26646]  INFO -- :  Empty place: 18,8 contains: .
I, [2006-01-03T22:13:21.951816 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.951977 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.952186 #26646]  INFO -- :  Empty place: 23,4 contains: .
I, [2006-01-03T22:13:21.952384 #26646]  INFO -- :  Empty place: 25,9 contains: .
I, [2006-01-03T22:13:21.952582 #26646]  INFO -- :  Empty place: 7,13 contains: .
I, [2006-01-03T22:13:21.952737 #26646]  INFO -- :  Empty place: 54,11 contains: .
I, [2006-01-03T22:13:21.952937 #26646]  INFO -- :  Empty place: 51,17 contains: .
I, [2006-01-03T22:13:21.953181 #26646]  INFO -- :  Empty place: 23,6 contains: .
I, [2006-01-03T22:13:21.953321 #26646]  INFO -- :  Empty place: 7,2 contains: .
I, [2006-01-03T22:13:21.953757 #26646]  INFO -- :  Empty place: 35,14 contains: .
I, [2006-01-03T22:13:21.953973 #26646]  INFO -- :  Empty place: 5,7 contains: .
I, [2006-01-03T22:13:21.954092 #26646]  INFO -- :  Empty place: 22,10 contains: .
I, [2006-01-03T22:13:21.954426 #26646]  INFO -- :  Empty place: 31,20 contains: .
I, [2006-01-03T22:13:21.954727 #26646]  INFO -- :  Empty place: 19,6 contains: .
I, [2006-01-03T22:13:21.954937 #26646]  INFO -- :  Empty place: 48,17 contains: .
I, [2006-01-03T22:13:21.955128 #26646]  INFO -- :  Empty place: 44,8 contains: .
I, [2006-01-03T22:13:21.955381 #26646]  INFO -- :  Empty place: 10,13 contains: .
I, [2006-01-03T22:13:21.955550 #26646]  INFO -- :  Empty place: 11,7 contains: .
I, [2006-01-03T22:13:21.955727 #26646]  INFO -- :  Empty place: 5,7 contains: .
I, [2006-01-03T22:13:21.955931 #26646]  INFO -- :  Empty place: 9,13 contains: .
I, [2006-01-03T22:13:21.956192 #26646]  INFO -- :  Empty place: 6,21 contains: .
I, [2006-01-03T22:13:21.956505 #26646]  INFO -- :  Empty place: 19,8 contains: .
I, [2006-01-03T22:13:21.956654 #26646]  INFO -- :  Empty place: 7,17 contains: .
I, [2006-01-03T22:13:21.956854 #26646]  INFO -- :  Empty place: 26,14 contains: .
I, [2006-01-03T22:13:21.958660 #26646]  INFO -- :  Empty place: 42,4 contains: .
I, [2006-01-03T22:13:21.959056 #26646]  INFO -- :  Empty place: 19,10 contains: .
I, [2006-01-03T22:13:21.959347 #26646]  INFO -- :  Empty place: 7,21 contains: .
I, [2006-01-03T22:13:21.959485 #26646]  INFO -- :  Empty place: 52,11 contains: .
I, [2006-01-03T22:13:21.959671 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.959826 #26646]  INFO -- :  Empty place: 41,7 contains: .
I, [2006-01-03T22:13:21.960094 #26646]  INFO -- :  Empty place: 54,9 contains: .
I, [2006-01-03T22:13:21.960342 #26646]  INFO -- :  Empty place: 8,2 contains: .
I, [2006-01-03T22:13:21.960588 #26646]  INFO -- :  Empty place: 13,7 contains: .
I, [2006-01-03T22:13:21.960726 #26646]  INFO -- :  Empty place: 26,2 contains: .
I, [2006-01-03T22:13:21.960855 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.961032 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:21.961248 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.961393 #26646]  INFO -- :  Empty place: 7,4 contains: .
I, [2006-01-03T22:13:21.961602 #26646]  INFO -- :  Empty place: 49,9 contains: .
I, [2006-01-03T22:13:21.961753 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.961938 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.962105 #26646]  INFO -- :  Empty place: 6,15 contains: .
I, [2006-01-03T22:13:21.962264 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:21.962463 #26646]  INFO -- :  Empty place: 8,4 contains: .
I, [2006-01-03T22:13:21.962615 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.962811 #26646]  INFO -- :  Empty place: 14,13 contains: .
I, [2006-01-03T22:13:21.963103 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.963292 #26646]  INFO -- :  Empty place: 35,15 contains: .
I, [2006-01-03T22:13:21.963520 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.963718 #26646]  INFO -- :  Empty place: 51,20 contains: .
I, [2006-01-03T22:13:21.964005 #26646]  INFO -- :  Empty place: 29,11 contains: .
I, [2006-01-03T22:13:21.964217 #26646]  INFO -- :  Empty place: 54,17 contains: .
I, [2006-01-03T22:13:21.964388 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.964549 #26646]  INFO -- :  Empty place: 26,4 contains: .
I, [2006-01-03T22:13:21.964676 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.964808 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:21.964998 #26646]  INFO -- :  Empty place: 42,20 contains: .
I, [2006-01-03T22:13:21.965416 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.965621 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:21.965809 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:21.966024 #26646]  INFO -- :  Empty place: 55,17 contains: .
I, [2006-01-03T22:13:21.966256 #26646]  INFO -- :  Empty place: 21,2 contains: .
I, [2006-01-03T22:13:21.966430 #26646]  INFO -- :  Empty place: 16,10 contains: .
I, [2006-01-03T22:13:21.966563 #26646]  INFO -- :  Empty place: 18,8 contains: .
I, [2006-01-03T22:13:21.966864 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.967040 #26646]  INFO -- :  Empty place: 35,11 contains: .
I, [2006-01-03T22:13:21.967371 #26646]  INFO -- :  Empty place: 24,14 contains: .
I, [2006-01-03T22:13:21.967579 #26646]  INFO -- :  Empty place: 26,9 contains: .
I, [2006-01-03T22:13:21.967898 #26646]  INFO -- :  Empty place: 5,7 contains: .
I, [2006-01-03T22:13:21.968080 #26646]  INFO -- :  Empty place: 52,17 contains: .
I, [2006-01-03T22:13:21.968257 #26646]  INFO -- :  Empty place: 34,15 contains: .
I, [2006-01-03T22:13:21.968432 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.968630 #26646]  INFO -- :  Empty place: 30,18 contains: .
I, [2006-01-03T22:13:21.968790 #26646]  INFO -- :  Empty place: 54,21 contains: .
I, [2006-01-03T22:13:21.968951 #26646]  INFO -- :  Empty place: 51,21 contains: .
I, [2006-01-03T22:13:21.969154 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.969337 #26646]  INFO -- :  Empty place: 51,19 contains: .
I, [2006-01-03T22:13:21.969467 #26646]  INFO -- :  Empty place: 60,14 contains: .
I, [2006-01-03T22:13:21.969693 #26646]  INFO -- :  Empty place: 54,19 contains: .
I, [2006-01-03T22:13:21.969891 #26646]  INFO -- :  Empty place: 26,5 contains: .
I, [2006-01-03T22:13:21.970120 #26646]  INFO -- :  Empty place: 16,14 contains: .
I, [2006-01-03T22:13:21.970359 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.970509 #26646]  INFO -- :  Empty place: 18,2 contains: .
I, [2006-01-03T22:13:21.970804 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.971104 #26646]  INFO -- :  Empty place: 13,7 contains: .
I, [2006-01-03T22:13:21.971280 #26646]  INFO -- :  Empty place: 30,17 contains: .
I, [2006-01-03T22:13:21.971564 #26646]  INFO -- :  Empty place: 22,14 contains: .
I, [2006-01-03T22:13:21.971683 #26646]  INFO -- :  Empty place: 24,12 contains: .
I, [2006-01-03T22:13:21.971866 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.972036 #26646]  INFO -- :  Empty place: 49,9 contains: .
I, [2006-01-03T22:13:21.972238 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.972412 #26646]  INFO -- :  Empty place: 11,2 contains: .
I, [2006-01-03T22:13:21.972608 #26646]  INFO -- :  Empty place: 10,13 contains: .
I, [2006-01-03T22:13:21.972766 #26646]  INFO -- :  Empty place: 18,14 contains: .
I, [2006-01-03T22:13:21.973246 #26646]  INFO -- :  Empty place: 42,11 contains: .
I, [2006-01-03T22:13:21.973383 #26646]  INFO -- :  Empty place: 6,13 contains: .
I, [2006-01-03T22:13:21.973615 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.973796 #26646]  INFO -- :  Empty place: 6,13 contains: .
I, [2006-01-03T22:13:21.973944 #26646]  INFO -- :  Empty place: 14,22 contains: .
I, [2006-01-03T22:13:21.974105 #26646]  INFO -- :  Empty place: 44,20 contains: .
I, [2006-01-03T22:13:21.974244 #26646]  INFO -- :  Empty place: 41,9 contains: .
I, [2006-01-03T22:13:21.974460 #26646]  INFO -- :  Empty place: 42,15 contains: .
I, [2006-01-03T22:13:21.974701 #26646]  INFO -- :  Empty place: 5,17 contains: .
I, [2006-01-03T22:13:21.974905 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.975061 #26646]  INFO -- :  Empty place: 19,6 contains: .
I, [2006-01-03T22:13:21.975211 #26646]  INFO -- :  Empty place: 12,7 contains: .
I, [2006-01-03T22:13:21.975476 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:21.975769 #26646]  INFO -- :  Empty place: 46,20 contains: .
I, [2006-01-03T22:13:21.975994 #26646]  INFO -- :  Empty place: 29,5 contains: .
I, [2006-01-03T22:13:21.976168 #26646]  INFO -- :  Empty place: 23,4 contains: .
I, [2006-01-03T22:13:21.976333 #26646]  INFO -- :  Empty place: 28,17 contains: .
I, [2006-01-03T22:13:21.976555 #26646]  INFO -- :  Empty place: 11,13 contains: .
I, [2006-01-03T22:13:21.976810 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.977033 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:21.977218 #26646]  INFO -- :  Empty place: 9,13 contains: .
I, [2006-01-03T22:13:21.977388 #26646]  INFO -- :  Empty place: 54,8 contains: .
I, [2006-01-03T22:13:21.977530 #26646]  INFO -- :  Empty place: 38,15 contains: .
I, [2006-01-03T22:13:21.977673 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.977842 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.978011 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.978176 #26646]  INFO -- :  Empty place: 6,13 contains: .
I, [2006-01-03T22:13:21.978509 #26646]  INFO -- :  Empty place: 51,20 contains: .
I, [2006-01-03T22:13:21.978796 #26646]  INFO -- :  Empty place: 29,7 contains: .
I, [2006-01-03T22:13:21.978927 #26646]  INFO -- :  Empty place: 23,9 contains: .
